nodeid,shapeid,x,y
150,8,-84.2232724,30.3951086
151,8,-84.2233706,30.3948233
152,8,-84.223392,30.394761
153,8,-84.2234073,30.3947042
154,8,-84.223515,30.394306
155,8,-84.2235652,30.3940454
156,8,-84.2235874,30.3939305
157,8,-84.2235963,30.3938843
158,8,-84.2236091,30.3937598
159,8,-84.2236197,30.3936937
160,8,-84.2236708,30.3933765
161,8,-84.2236829,30.3933041
162,8,-84.2236955,30.3932293
163,8,-84.223746,30.392853
164,8,-84.2237737,30.3925991
165,8,-84.223789,30.392335
166,8,-84.2237924,30.3922173
167,8,-84.2237973,30.392139
168,8,-84.2237954,30.3920747
169,8,-84.223793,30.391991
170,8,-84.2237774,30.3917639
171,8,-84.22377,30.3916691
172,8,-84.2237643,30.3915689
173,8,-84.2237179,30.3911918
174,8,-84.2237074,30.3911212
175,8,-84.223577,30.3904551
176,8,-84.223431,30.3898826
177,8,-84.2233373,30.3895422
178,8,-84.223319,30.3894703
179,9,-84.2169501,30.3950737
180,9,-84.2169505,30.3951431
181,9,-84.2169488,30.3951702
182,9,-84.2169304,30.3954653
183,9,-84.2169269,30.395537
184,9,-84.216905,30.395695
185,9,-84.2168241,30.3960252
186,9,-84.2167411,30.396364
187,9,-84.2165805,30.3970192
188,9,-84.2165559,30.3971195
189,9,-84.2164443,30.3975748
190,9,-84.2164369,30.3976053
191,9,-84.216423,30.3976621
192,9,-84.216409,30.397719
193,9,-84.216361,30.397954
194,9,-84.2163553,30.3979994
195,9,-84.2163208,30.3982723
196,9,-84.2163111,30.3983493
197,9,-84.2162685,30.398686
198,9,-84.216266,30.3987061
199,9,-84.216265,30.398714
200,9,-84.2162304,30.3990016
201,9,-84.2162172,30.3991001
202,9,-84.21621,30.3991537
203,9,-84.216183,30.399355
204,9,-84.2161685,30.399463
205,9,-84.2161489,30.3996095
206,9,-84.2161445,30.3996425
207,9,-84.2160554,30.4002666
208,9,-84.2160464,30.4003495
209,9,-84.2160336,30.4004675
210,9,-84.2159995,30.4006851
