highway,source,foot,building,service,addr:street,addr:housenumber,barrier,addr:city,addr:country,addr:postcode,name,amenity,FIXME,surface,natural,maxspeed,oneway,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,golf,leisure,building:levels,tiger:zip_left,cycleway,tiger:zip_right,access,lanes,tiger:source,tiger:tlid,tiger:upload_uuid,tiger:reviewed,office,sport,tiger:separated,landuse,is_in,bridge,waterway,website,cycleway:right,tiger:name_base_1,tiger:name_type_1,HFCS,basin,building:material,roof:shape,addr:housename,fence_type,name_1,tiger:zip,tunnel,admin_level,boundary,capacity:disabled,cfcc,county,hgv,noexit,operator,ref,sidewalk,unsigned_ref,addr:state,area,building:colour,building:name,dispensing,entrance,footway,hazard:bicycle,junction,max,place,power,rcn,tracktype,wikipedia
residential,,,,,,,,,,,Biltmore Avenue,,,,,30 mph,,A41,"Leon, FL",Biltmore,Ave,,,,32311,lane,32311,,,tiger_import_dch_v0.6_20070809,82902961:82902974:82902979:82902984:82902994:82903056:82903012:82868490:82903021:82902947,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Cunard Drive,,,,,,,A41,"Leon, FL",Cunard,Dr,,,,32311,,32311,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Verdura Point Drive,,,,,,yes,A45,"Leon, FL",Verdura Point,Dr,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Verdura Point Drive,,,,,,yes,A45,"Leon, FL",Verdura Point,Dr,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Southwood Plantation Road,,,paved,,,,A41,"Leon, FL",Southwood Plantation,Rd,,,,32311,,32311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Alcott Drive,,,,,,,A41,"Leon, FL",Alcott,Dr,,,,32399,,32399,,,tiger_import_dch_v0.6_20070809,82893500,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Barcelona Avenue,,,paved,,,,A41,"Leon, FL",Barcelona,Ln,,,,32311,,32311,,,tiger_import_dch_v0.6_20070809,82879672:82879679:82880141:82880142,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Brookhaven Court,,,,,,,A41,"Leon, FL",Brookhaven,Ct,,,,32311,,32311,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Sunlight Terrace,,,,,,,A41,"Leon, FL",Sunlight,Ter,,,,32305,,32305,,,tiger_import_dch_v0.6_20070809,82894973,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,New Dawn Road,,,,,25 mph,,A41,"Leon, FL",New Dawn,Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Fernleigh Drive,,,,,25 mph,,A41,"Leon, FL",Fernleigh,Dr,,,,32311,,32311,,,tiger_import_dch_v0.6_20070809,82894972,bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Andalusia Avenue,,,,,25 mph,,A41,"Leon, FL",Andalusia,Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Mulberry Park Boulevard,,,,,25 mph,yes,A41,"Leon, FL","Mulberry Park; Piney Grove","Blvd; Dr",,,,32311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Iberville Way,,,,,,yes,A41,"Leon, FL",Iberville,Way,,,,32399,,32399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Colleton Court,,,,,25 mph,,A41,"Leon, FL",Colleton,Ct,,,,32399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Longfellow Road,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,Tallahassee,,32311,Acacia Lane,,,paved,,25 mph,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,Tallahassee,,32311,Dunleith Lane,,,paved,,25 mph,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,Tallahassee,,32311,Stanhope Drive,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,Tallahassee,,32311,Tremont Drive,,,paved,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
