"shapeid","highway","source","foot","building","service","addr:street","addr:housenumber","barrier","addr:city","addr:country","addr:postcode","name","amenity","FIXME","surface","natural","maxspeed","oneway","tiger:cfcc","tiger:county","tiger:name_base","tiger:name_type","golf","leisure","building:levels","tiger:zip_left","cycleway","tiger:zip_right","access","lanes","tiger:source","tiger:tlid","tiger:upload_uuid","tiger:reviewed","office","sport","tiger:separated","landuse","is_in","bridge","waterway","website","cycleway:right","tiger:name_base_1","tiger:name_type_1","HFCS","basin","building:material","roof:shape","addr:housename","fence_type","name_1","tiger:zip","tunnel","admin_level","boundary","capacity:disabled","cfcc","county","hgv","noexit","operator","ref","sidewalk","unsigned_ref","addr:state","area","building:colour","building:name","dispensing","entrance","footway","hazard:bicycle","junction","max","place","power","rcn","tracktype","wikipedia"
"10","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grove Park Drive","NULL","NULL","NULL","NULL","25 mph","NULL","A41","Leon, FL","Grove Park","Dr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Barringer Hill Drive","NULL","NULL","NULL","NULL","25 mph","NULL","A41","Leon, FL","Barringer Hill","Dr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grove Park","Dr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12","tertiary","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Merchants Row Boulevard","NULL","NULL","NULL","NULL","35 mph","yes","A41","Leon, FL","Merchants Row","Blvd","NULL","NULL","NULL","NULL","lane","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"13","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Esplanade Way","NULL","NULL","paved","NULL","30 mph","NULL","A41","Leon, FL","Esplanade","Way","NULL","NULL","NULL","NULL","lane","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"14","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","School House Road","NULL","NULL","paved","NULL","NULL","NULL","A41","Leon, FL","School House","Rd","NULL","NULL","NULL","32399","lane","NULL","NULL","NULL","tiger_import_dch_v0.6_20070809","82885874:82885884; 82891967","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","yes","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15","service","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","C E P Way","NULL","NULL","NULL","NULL","NULL","NULL","A74","Leon, FL","C E P","Way","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"16","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Overlook Drive","NULL","NULL","NULL","NULL","25 mph","NULL","A41","Leon, FL","NULL","NULL","NULL","NULL","NULL","32305","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Overlook","Dr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"17","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Terebone Drive","NULL","NULL","paved","NULL","30 mph","NULL","A41","Leon, FL","Terebone","Dr","NULL","NULL","NULL","NULL","lane","NULL","NULL","NULL","tiger_import_dch_v0.6_20070809","82888499","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"18","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Chanticleer Court","NULL","NULL","NULL","NULL","NULL","NULL","A41","Leon, FL","Chanticleer","Ct","NULL","NULL","NULL","32399","NULL","32399","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"19","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Greyfield Drive","NULL","NULL","NULL","NULL","NULL","NULL","A41","Leon, FL","Greyfield","Dr","NULL","NULL","NULL","32311","NULL","32311","NULL","NULL","tiger_import_dch_v0.6_20070809","82893497","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"20","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Shumard Oak Boulevard","NULL","NULL","NULL","NULL","NULL","yes","A41","Leon, FL","Shumard Oak","Blvd","NULL","NULL","NULL","32399","lane","32399","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","yes","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
